source_file,sha256,status,master
frogman_crown.png,1ad25a969968532771382d8c5150d649a0f5d4c3907190a6143e536426a4fcca,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/frogman_crown.png
goat.png,e918acef3267411d80186aae4c48252dad382de0a333d11a09a5819917c92327,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/goat.png
gold.png,d22a599ae3716c8f4dec80154c49f52035b1ad87c5a7da5401a2dac6230d2d70,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/gold.png
golem.png,192be47da816337c21554887e769039779dd48e627b5443f601816214636faa7,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/golem.png
legs_skirt_female.png,35b9677e41ac6748f7a2276fd560dc6e4a6ef1664d3dc83000e6bd238c4807b4,DUPLICATE_SKIPPED,05_OBJECTS/Armor_and_Clothing/legs_skirt_female.png
llama_eat.png,94d9c87db65f67ff7071c548859fecd48464a66d0f0754a974e0893c577c74f5,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/llama_eat.png
llama_shadow.png,241962d4f334cc4f082d5c304227e5285c8b16b1bdb372c4ad9b49ecbb370dca,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/llama_shadow.png
llama_walk.png,6e1db9838e9d17238a483f1cf1cf2058f51699955d9147af8e13170113016a61,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/llama_walk.png
lpc_shadow.png,28aefbebf279dcd4086aa669c3dc8877597c4091b93e4a967d936ebdb57cdabd,DUPLICATE_SKIPPED,05_OBJECTS/Armor_and_Clothing/lpc_shadow.png
lpc_shadow_child.png,9a85199c68ba53e0e9f8377988889cf47e8da440b754803c8da4c06ad0275b0f,DUPLICATE_SKIPPED,05_OBJECTS/Armor_and_Clothing/lpc_shadow_child.png
lpcfemalelight.png,7ad67d78c3955b4f9d6088c17a514c394b1831d369e720e0c2861b3e4d16cfda,DUPLICATE_SKIPPED,01_CHARACTERS/Player/LPC_Character_Pack/lpcfemalelight.png
mage fall down sheet copy.png,60ef20745e503c288e077150fd7f51537eda7e39c6cd8bbcbadcfcd8ab5ee341,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/mage fall down sheet copy.png
mage walking poses sheet copy.png,ce89f405ed885d39e74ebb43d921b8735c419eee09b51432e7f74cf7b5dd4e6b,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/mage walking poses sheet copy.png
maroon_sleeveless.png,250662103722e2b281720111f7e7d26bd500e91e9052aec5f62dbf024d0ddb72,DUPLICATE_SKIPPED,05_OBJECTS/Armor_and_Clothing/maroon_sleeveless.png
medieval tileset exterior.png,efeeb628a4eed628236d45e71aa8237ecd7fc07a299df9584788fea98fd1d2c1,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/medieval tileset exterior.png
medieval tileset interior.png,f740ba80bbf491d11c62e29051baf83050d8d1e5450c4364a7b6b105892bfa6c,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/medieval tileset interior.png
pig_eat.png,09366c2632fe9635f0e34c81f9bce5f8ea854e4e672c27b576c276a5a4ebf3a4,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/pig_eat.png
pig_walk.png,ff0caf9e03dc2d90997714ff7db222bd3782191a0c6b1ab28ee78b12695b0395,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/pig_walk.png
red_orc.png,1d2808e847909ed65b02042accd2a03c0196792fc192c2e29f8827167f11e9f8,DUPLICATE_SKIPPED,01_CHARACTERS/Player/LPC_Character_Pack/red_orc.png
ruby-red.png,2968af50ba0f3e38e0e778f97116ed0c7d594a9d2916dbaae47509f9b0622719,DUPLICATE_SKIPPED,01_CHARACTERS/Player/LPC_Character_Pack/ruby-red.png
sheep_eat.png,20fcc7218839747e20ff5895d315c947a9637d6b1adf03308b19b5bbcd5d2c9c,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/sheep_eat.png
sheep_walk.png,2ccaecd23d4dba308974a72415e660a6afa64135253d7061827fb62b67f9d29e,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/sheep_walk.png
teal_tunic(1).png,2106bf5f85ae6843146651359a6a9b26d3cf6d673a47df24ee3d0c2be321c221,DUPLICATE_SKIPPED,05_OBJECTS/Armor_and_Clothing/teal_tunic(1).png
teal_tunic.png,2106bf5f85ae6843146651359a6a9b26d3cf6d673a47df24ee3d0c2be321c221,DUPLICATE_SKIPPED,05_OBJECTS/Armor_and_Clothing/teal_tunic(1).png
trimcape_whiteblue.png,71ebe45a264e1fb91720c3af6136fb9fcb54034ac77df7fbafd9983df3c598fb,DUPLICATE_SKIPPED,05_OBJECTS/Armor_and_Clothing/trimcape_whiteblue.png
upholstery.png,3e1f3b7566506a0379ee6094fb3cf089df06b7ba51045d9d18a41a1cfe086a41,MASTER_ADDED,15_UNSORTED/NEW_STANDALONE_2026-08-23/upholstery.png
