asset_group,source,authors,licenses,status,url
LPC Faun and Minotaur,lpc faun.png; lpc minotaur.png; lpc muscular minotaur.png,Evert; Daniel Eddeland (daneeklu); Nila122; Stephen Challener (Redshrike); dalonedrau; ElizaWy,CC-BY-SA 3.0; GPL 3.0,VERIFIED,https://opengameart.org/content/lpc-faun-and-minotaur
LPC Barbarian Sprite Base,lpc_barbarian_walk.png,dalonedrau,CC-BY-SA 3.0,VERIFIED,https://opengameart.org/content/lpc-barbarian-sprite-base
LPC Crossbow (Final),lpc_crossbow.png,Dr. Jamgo,CC0,VERIFIED,https://opengameart.org/content/lpc-crossbow-final
LPC Boarman,lpc_boarman.zip,Benjamin K. Smith (BenCreating); dalonedrau; Daniel Eddeland (daneeklu); ElizaWy; Johannes Sjölund (wulax); Stephen Challener (Redshrike); William.Thompsonj; castelonia,CC-BY-SA 3.0; GPL 3.0,VERIFIED,https://opengameart.org/content/lpc-boarman
LPC Walk Animations for Bows,lpc_bows_walk_animations.zip,Pierre Vigier; Daniel Eddeland (daneeklu); gr3yh47; Johannes Sjölund (wulax),CC-BY-SA 3.0; OGA-BY 3.0+ for bow_bg/bow_fg,VERIFIED,https://opengameart.org/content/lpc-walk-animations-for-bows
LPC Character Bases v2,lpc_character_bases-v2.zip,Benjamin K. Smith (BenCreating); Stephen Challener (Redshrike); dalonedrau; Durrani; Eliza Wyatt (ElizaWy); Johannes Sjölund (wulax); kheftel; madmarcel; Matthew Krohn (makrohn); MuffinElZangano; Nila122; bluecarrot16; castelonia; Pierre Vigier (pvigier); Evert; William.Thompsonj; Zi Ye,CC-BY-SA 3.0; GPL 3.0,VERIFIED,https://opengameart.org/content/lpc-character-bases
LPC Leaf Recolor,lpc leaf recolors.zip,William.Thompsonj; Johann Charlot (original leaves),CC-BY-SA 3.0; GPL 3.0,VERIFIED,https://opengameart.org/content/lpc-leaf-recolor
LPC C.Nilsson flags,lpc_c.nilsson_flags.png,Casper Nilsson (provisional mapping),CC-BY-SA 3.0; GPL 3.0,PROVISIONAL,https://opengameart.org/lpc-art-entries
